CodMun,UF,Cod UF,Mun,Pop,Faixa_pop,Regiao,Mleg01,Mleg011,Mleg012,Mleg013,Mleg014,Mleg02,Mleg021,Mleg03,Mleg031,Mleg04,Mleg041,Mleg05,Mleg051,Mleg06,Mleg061,Mleg07,Mleg071,Mleg08,Mleg081,Mleg09,Mleg091,Mleg10,Mleg101,Mleg11,Mleg111,Mleg12,Mleg121,Mleg13,Mleg131,Mleg14,Mleg141,Mleg15,Mleg151,Mleg16,Mleg161,Mleg17,Mleg171,Mleg18,Mleg181,Mleg19,Mleg191,Mleg20,Mleg201,Mleg21,Mleg211,Mleg22,Mleg221
1100452,RO,11,Buritis,41043,4 - 20001 até 50000,1 - Norte,Sim,2004,Sim,2019,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2008,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2000,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-
2903235,BA,29,Barro Alto,15171,3 - 10001 até 20000,2 - Nordeste,Não,-,-,-,Não,Não,-,Não,-,"Sim, com legislação específica",2018,"Sim, com legislação específica",2018,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,"Sim, com legislação específica",2018,"Sim, com legislação específica",2018,Não,-,"Sim, com legislação específica",2009
3104502,MG,31,Arinos,17850,3 - 10001 até 20000,3 - Sudeste,Não,-,-,-,Não,"Sim, com legislação específica",2011,"Sim, com legislação específica",2011,"Sim, com legislação específica",1989,"Sim, com legislação específica",1990,"Sim, com legislação específica",1990,Não,-,"Sim, com legislação específica",2015,Não,-,Não,-,"Sim, com legislação específica",1984,Não,-,Não,-,"Sim, com legislação específica",2009,"Sim, com legislação específica",2010,Não,-,Não,-,Não,-,"Sim, com legislação específica",2011,"Sim, com legislação específica",1995,"Sim, com legislação específica",1998,"Sim, com legislação específica",1998
3109303,MG,31,Buritis,25179,4 - 20001 até 50000,3 - Sudeste,Sim,2006,Não,-,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2007,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",1979,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2009,"Sim, com legislação específica",2009,"Sim, com legislação específica",2007,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2009,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,Não,-,"Sim, com legislação específica",2016,"Sim, com legislação específica",2009,"Sim, com legislação específica",2009,"Sim, com legislação específica",2009
3109451,MG,31,Cabeceira Grande,7025,2 - 5001 até 10000,3 - Sudeste,Não,-,-,-,Não,"Sim, com legislação específica",2018,"Sim, com legislação específica",2018,"Sim, com legislação específica",2000,"Sim, com legislação específica",2007,"Sim, com legislação específica",2018,"Sim, com legislação específica",2018,"Sim, com legislação específica",1997,Não,-,Não,-,"Sim, com legislação específica",1998,"Sim, com legislação específica",2018,"Sim, com legislação específica",2000,"Sim, com legislação específica",2007,"Sim, com legislação específica",1998,"Sim, com legislação específica",1997,"Sim, com legislação específica",2014,"Sim, com legislação específica",2014,"Sim, com legislação específica",2016,"Sim, com legislação específica",2000,"Sim, com legislação específica",2014,"Sim, com legislação específica",1998
3170404,MG,31,Unaí,85461,5 - 50001 até 100000,3 - Sudeste,Sim,2003,Não,-,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2018,"Sim, com legislação específica",2003,"Sim, como parte integrante do Plano Diretor",-,Não,-,"Sim, com legislação específica",2017,Não,-,Não,-,"Sim, com legislação específica",1991,Não,-,Não,-,"Sim, com legislação específica",2006,"Sim, com legislação específica",2003,Não,-,Não,-,Não,-,"Sim, com legislação específica",2019,"Sim, com legislação específica",2001,Não,-,"Sim, com legislação específica",1991
5200100,GO,52,Abadiânia,20873,4 - 20001 até 50000,5 - Centro-Oeste,Não,-,-,-,Sim,"Sim, com legislação específica",2018,"Sim, com legislação específica",2020,"Sim, com legislação específica",2020,"Sim, com legislação específica",2020,"Sim, com legislação específica",2019,"Sim, com legislação específica",2013,"Sim, com legislação específica",2021,Não,-,"Sim, com legislação específica",2019,Não,-,"Sim, com legislação específica",2019,Não,-,Não,-,"Sim, com legislação específica",2019,"Sim, com legislação específica",2018,Não,-,Não,-,"Sim, com legislação específica",2017,Não,-,"Sim, com legislação específica",2019,"Sim, com legislação específica",2019
5200175,GO,52,Água Fria de Goiás,5843,2 - 5001 até 10000,5 - Centro-Oeste,Sim,2006,Não,-,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2016,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",1989,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2009
5200258,GO,52,Águas Lindas de Goiás,222850,6 - 100001 até 500000,5 - Centro-Oeste,Sim,2019,Sim,2021,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2019,"Sim, como parte integrante do Plano Diretor",-,"Sim, com legislação específica",2005,"Sim, com legislação específica",1999,"Sim, com legislação específica",2021,Não,-,Não,-,"Sim, com legislação específica",2005,Não,-,Não,-,Não,-,"Sim, com legislação específica",2015,Não,-,"Sim, com legislação específica",2009,"Sim, com legislação específica",2011
5200308,GO,52,Alexânia,28360,4 - 20001 até 50000,5 - Centro-Oeste,Sim,2006,Não,-,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,Não,-,Não,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-,Não,-,Não,-,Não,-,"Sim, como parte integrante do Plano Diretor",-,Não,-,Não,-,"Sim, como parte integrante do Plano Diretor",-,Não,-,"Sim, como parte integrante do Plano Diretor",-,"Sim, como parte integrante do Plano Diretor",-
